Unit,Emp Code,Sex,Full Name,Date of Birth,Grade,Designations,Blood  Group,Department,ET,Category,Religion,Handicap,Positions,Shift Start,Shift End,Employee Type,Employee Category
MCP,10026,Male,"Adinolfi, Wilson  K",07-Oct-83,A,Mining Engineer,A+,Operations,Active,General,Hindu,Yes,Senior,10:00 AM,6:00 PM,Executive,E0
MCP,10084,Male,"Ait Sidi, Karthikeyan   ",05-May-75,A,Mining Engineer,O+,Mines,Voluntarily Terminated,SC,Muslim,Yes,Senior,10:00 AM,6:00 PM,Executive,E2
MCP,10196,Female,"Akinkuolie, Sarah",19-Sep-88,B,Mining Engineer,B+,Mines,Voluntarily Terminated,SC,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T2
MCP,10088,Female,"Alagbe,Trina",27-Sep-88,C,Mining Engineer,AB-,Mines,Active,General,Muslim,No,Junior,12:00 AM,8:00 PM,Technical,T6
MCP,10069,Female,"Anderson, Carol ",09-Aug-89,B,Mining Engineer,A+,Mines,Voluntarily Terminated,General,Christian,No,Intermediate,8:00 PM,4:00 AM,Technical,T9
MCP,10002,Female,"Anderson, Linda  ",22-May-77,A,Mining Engineer,B-,Operations,Active,ST,Hindu,No,Trainee,8:00 PM,4:00 AM,Technical,T2
MCP,10194,Female,"Andreola, Colby",24-May-79,B,Mining Engineer,O-,Mines,Active,ST,Christian,No,Trainee,8:00 AM,4:00 PM,Technical,T1
MCP,10062,Male,"Athwal, Sam",18-Feb-83,A,Mining Researcher,O+,Mines,Active,ST,Muslim,Yes,Trainee,8:00 PM,4:00 AM,Technical,T7
HO,10114,Female,"Bachiochi, Linda",02-Nov-70,B,Mining Researcher,AB-,Mines,Active,ST,Hindu,Yes,Senior,10:00 AM,6:00 PM,Executive,E11
HO,10250,Male,"Bacong, Alejandro ",01-Jul-88,A,Mining Researcher,A+,Mines,Active,OBC,Hindu,Yes,Senior,10:00 AM,6:00 PM,Executive,E3
HO,10252,Female,"Baczenski, Rachael  ",01-Dec-74,A,Mining Researcher,AB+,Operations,Voluntarily Terminated,OBC,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T4
HO,10242,Male,"Barbara, Thomas",21-Feb-74,A,Mining Researcher,AB-,Mines,Voluntarily Terminated,General,Hindu,No,Junior,12:00 AM,8:00 PM,Technical,T10
HO,10012,Male,"Barbossa, Hector",07-Apr-88,B,Mining Researcher,AB-,Mines,Active,General,Hindu,Yes,Intermediate,8:00 AM,4:00 PM,Technical,T1
HO,10265,Male,"Barone, Francesco  A",20-Jul-83,C,Mining Researcher,A-,Mines,Active,SC,Muslim,Yes,Trainee,8:00 AM,4:00 PM,Technical,T3
HO,10066,Male,"Barton, Nader",15-Jul-77,B,Mining Researcher,B+,Mines,Voluntarily Terminated,ST,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E9
HO,10061,Male,"Bates, Norman",18-Oct-81,B,Mining Researcher,O+,Mines,Terminated for Cause,SC,Muslim,No,Senior,10:00 AM,6:00 PM,Executive,E0
HO,10023,Female,"Beak, Kimberly  ",04-Oct-66,"A
",Mining Researcher,O-,Mines,Active,ST,Christian,No,Junior,10:00 AM,6:00 PM,Executive,E8
HO,10055,Female,"Beatrice, Courtney ",24-Nov-81,B,Mining Researcher,AB+,Operations,Active,SC,Hindu,No,Junior,8:00 PM,4:00 AM,Non-Technical,C1
HO,10245,Female,"Becker, Renee",04-Apr-86,A,Mining Researcher,A+,Mines,Terminated for Cause,OBC,Christian,No,Intermediate,8:00 AM,4:00 PM,Non-Technical,C2
HO,10277,Male,"Becker, Scott",04-Jun-79,A,Mining Researcher,AB-,Mines,Active,OBC,Muslim,Yes,Trainee,12:00 AM,8:00 PM,Non-Technical,C6
HO,10046,Male,"Bernstein, Sean",07-Oct-83,A,Mining Researcher,A+,Mines,Active,General,Hindu,Yes,Senior,10:00 AM,6:00 PM,Executive,E6
HO,10226,Female,"Biden, Lowan  M",05-May-75,B,Mining Researcher,A-,Operations,Active,SC,Hindu,Yes,Senior,10:00 AM,6:00 PM,Executive,E8
HO,10003,Female,"Billis, Helen",19-Sep-88,A,Mining Researcher,AB+,Mines,Active,SC,Hindu,No,Junior,8:00 AM,4:00 PM,Non-Technical,C3
MCP,10294,Female,"Blount, Dianna",27-Sep-88,B,Mining Researcher,AB+,Mines,Active,General,Hindu,No,Junior,12:00 AM,8:00 PM,Non-Technical,C3
MCP,10267,Female,"Bondwell, Betsy",09-Aug-89,C,Mining Researcher,AB-,Mines,Voluntarily Terminated,General,Hindu,Yes,Intermediate,12:00 AM,8:00 PM,Non-Technical,C2
MCP,10199,Male,"Booth, Frank",22-May-77,C,Mining Researcher,AB-,Mines,Terminated for Cause,ST,Muslim,Yes,Trainee,8:00 PM,4:00 AM,Non-Technical,C1
MCP,10081,Female,"Boutwell, Bonalyn",24-May-79,C,Mining Researcher,O-,Mines,Active,ST,Hindu,No,Senior,10:00 AM,6:00 PM,Executive,E5
MCP,10175,Male,"Bozzi, Charles",18-Feb-83,A,Mining Researcher,B+,Mines,Voluntarily Terminated,ST,Muslim,No,Senior,10:00 AM,6:00 PM,Executive,E6
MCP,10177,Female,"Brill, Donna",02-Nov-70,A,Mining Researcher,B-,Mines,Voluntarily Terminated,ST,Christian,No,Junior,12:00 AM,8:00 PM,Non-Technical,C5
MCP,10238,Female,"Brown, Mia",01-Jul-88,B,Mining Researcher,AB-,Mines,Active,OBC,Hindu,No,Junior,8:00 PM,4:00 AM,Non-Technical,C1
MCP,10184,Male,"Buccheri, Joseph  ",01-Dec-74,A,Mining Researcher,A+,Mines,Active,OBC,Christian,No,Intermediate,8:00 AM,4:00 PM,Non-Technical,C6
MCP,10203,Female,"Bugali, Josephine ",21-Feb-74,A,Mining Researcher,O+,Mines,Active,General,Muslim,Yes,Trainee,8:00 AM,4:00 PM,Non-Technical,C4
MCP,10188,Female,"Bunbury, Jessica",07-Apr-88,B,Mining Researcher,B+,Mines,Voluntarily Terminated,General,Hindu,Yes,Senior,10:00 AM,6:00 PM,Executive,E2
